participant_id,level_name,age,gender,degree,subjects,age_groups
669ea8081c7b8,level_C,29.0,Male,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669ea809f0b72,level_A,27.0,Male,Technical/community college,Other,"[18, 30]"
669ea81b6caad,level_A,36.0,Male,Graduate degree,IT and Engineering,"[30, 40]"
669ea81be5ffc,level_C,28.0,Female,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea81d7d890,level_C,23.0,Female,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669ea81eb2cf2,level_C,43.0,Male,Graduate degree,I prefer not to say,"[40, 50]"
669ea820d04a5,level_A,23.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea829f23c6,level_B,25.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea82bf0444,level_B,35.0,Male,High School Diploma,Other,"[30, 40]"
669ea82e664a1,level_B,53.0,Female,Undergraduate degree,Other,"[50, 60]"
669ea82f64f27,level_C,38.0,Male,Undergraduate degree,Other,"[30, 40]"
669ea83327361,level_A,25.0,Female,Graduate degree,Social Sciences,"[18, 30]"
669ea8345f11e,level_C,64.0,Female,Undergraduate degree,Other,"[60, 100]"
669ea83561a21,level_B,47.0,Male,Undergraduate degree,Natural Sciences,"[40, 50]"
669ea838e3f6a,level_C,38.0,Male,Graduate degree,Other,"[30, 40]"
669ea84d2fead,level_C,56.0,Female,Graduate degree,IT and Engineering,"[50, 60]"
669ea868641dd,level_B,35.0,Female,Other,Social Sciences,"[30, 40]"
669ea8708f846,level_C,40.0,Male,Doctorate degree,Natural Sciences,"[40, 50]"
669ea87ace179,level_C,22.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea87c6ef60,level_A,24.0,Female,High School Diploma,I prefer not to say,"[18, 30]"
669ea87cad48b,level_C,39.0,Male,Graduate degree,Other,"[30, 40]"
669ea8828ba32,level_B,37.0,Male,Doctorate degree,Social Sciences,"[30, 40]"
669ea88af131a,level_C,30.0,Female,Undergraduate degree,Social Sciences,"[30, 40]"
669ea88fd82df,level_C,47.0,Non-binary,High School Diploma,Other,"[40, 50]"
669ea89ece079,level_A,51.0,Female,Graduate degree,Social Sciences,"[50, 60]"
669ea8af19bae,level_A,30.0,Female,Graduate degree,Other,"[30, 40]"
669ea8af7e271,level_B,32.0,Female,High School Diploma,Other,"[30, 40]"
669ea8b814d85,level_B,26.0,Male,Graduate degree,Social Sciences,"[18, 30]"
669ea8c1a4862,level_A,35.0,Female,Undergraduate degree,Social Sciences,"[30, 40]"
669ea8c96a3ce,level_A,30.0,Male,Undergraduate degree,Other,"[30, 40]"
669ea8cc70d3e,level_C,32.0,Male,Graduate degree,IT and Engineering,"[30, 40]"
669ea8d3031e8,level_C,24.0,Female,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669ea8e986bf9,level_B,51.0,Female,Graduate degree,Social Sciences,"[50, 60]"
669ea8fc925b6,level_B,35.0,Female,Graduate degree,Natural Sciences,"[30, 40]"
669ea8fd47beb,level_A,26.0,Female,High School Diploma,I prefer not to say,"[18, 30]"
669ea9068c927,level_A,35.0,Female,Doctorate degree,Social Sciences,"[30, 40]"
669ea90e3b9c2,level_C,48.0,Female,High School Diploma,Social Sciences,"[40, 50]"
669ea9105fa73,level_C,29.0,Male,High School Diploma,Other,"[18, 30]"
669ea9132b55c,level_C,23.0,Female,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669ea9179e1c5,level_C,42.0,Male,High School Diploma,IT and Engineering,"[40, 50]"
669ea92adfcd7,level_B,36.0,Male,Graduate degree,Other,"[30, 40]"
669ea9313ec9c,level_B,63.0,Male,High School Diploma,Mathematics and Statistics,"[60, 100]"
669ea942820bd,level_B,44.0,Female,Undergraduate degree,Mathematics and Statistics,"[40, 50]"
669ea94974ce5,level_A,23.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea956075c0,level_A,29.0,Female,Graduate degree,Other,"[18, 30]"
669ea969ee214,level_B,51.0,Female,High School Diploma,Other,"[50, 60]"
669ea96eedce4,level_B,36.0,Female,Undergraduate degree,Social Sciences,"[30, 40]"
669ea977e5879,level_C,23.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea978b26ae,level_A,36.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669ea98b82899,level_B,28.0,Non-binary,Undergraduate degree,Social Sciences,"[18, 30]"
669ea9939bb96,level_C,21.0,Female,High School Diploma,Natural Sciences,"[18, 30]"
669ea99ca2c70,level_C,35.0,Female,Undergraduate degree,Mathematics and Statistics,"[30, 40]"
669ea99d58e0a,level_B,37.0,Female,Technical/community college,Mathematics and Statistics,"[30, 40]"
669ea99f8c1de,level_A,49.0,Female,Technical/community college,Other,"[40, 50]"
669ea9a78f11f,level_A,38.0,Female,Graduate degree,Other,"[30, 40]"
669ea9a9346a1,level_C,40.0,Male,Doctorate degree,IT and Engineering,"[40, 50]"
669ea9ae7dd87,level_C,31.0,Female,Graduate degree,Natural Sciences,"[30, 40]"
669ea9b90595c,level_C,22.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea9b93a23e,level_A,37.0,Female,High School Diploma,Mathematics and Statistics,"[30, 40]"
669ea9c207724,level_B,26.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea9c7287c1,level_A,26.0,Male,Graduate degree,IT and Engineering,"[18, 30]"
669ea9c808141,level_A,30.0,Female,Undergraduate degree,Natural Sciences,"[30, 40]"
669ea9d178a45,level_C,79.0,Male,Other,Other,"[60, 100]"
669ea9d70b3f5,level_C,38.0,Male,Undergraduate degree,Other,"[30, 40]"
669ea9db876ab,level_A,57.0,Female,Technical/community college,Natural Sciences,"[50, 60]"
669ea9e062b2f,level_A,32.0,I prefer not to say,I prefer not to say,I prefer not to say,"[30, 40]"
669ea9e73a4ba,level_A,26.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea9f5c0449,level_A,32.0,Female,Graduate degree,Other,"[30, 40]"
669ea9f5cde8f,level_A,40.0,Male,Undergraduate degree,IT and Engineering,"[40, 50]"
669ea9f8bbf30,level_B,22.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669eaa00702a7,level_B,21.0,Female,Graduate degree,IT and Engineering,"[18, 30]"
669eaa03e7f39,level_A,44.0,Female,Technical/community college,Social Sciences,"[40, 50]"
669eaa048c424,level_B,29.0,Male,Undergraduate degree,Other,"[18, 30]"
669eaa0eb4a0f,level_C,23.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669eaa135b9d4,level_B,46.0,Female,Undergraduate degree,Social Sciences,"[40, 50]"
669eaa1893a17,level_A,22.0,Female,Undergraduate degree,Other,"[18, 30]"
669eaa1c85bf4,level_B,32.0,Female,Graduate degree,Social Sciences,"[30, 40]"
669eaa28dd497,level_C,32.0,Male,Undergraduate degree,Other,"[30, 40]"
669eaa39bbadf,level_C,33.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eaa3d4f49b,level_C,33.0,Male,Undergraduate degree,Mathematics and Statistics,"[30, 40]"
669eaa41a0034,level_C,33.0,Female,High School Diploma,I prefer not to say,"[30, 40]"
669eaa5691761,level_B,21.0,Female,High School Diploma,Social Sciences,"[18, 30]"
669eaa5b2b730,level_B,38.0,Male,Undergraduate degree,Other,"[30, 40]"
669eaa63e0fc7,level_A,35.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eaa696ff2e,level_C,32.0,Female,High School Diploma,Other,"[30, 40]"
669eaa6b51b1e,level_A,53.0,Male,High School Diploma,Natural Sciences,"[50, 60]"
669eaa7569061,level_A,35.0,Male,High School Diploma,Other,"[30, 40]"
669eaa8483d61,level_A,22.0,Male,High School Diploma,IT and Engineering,"[18, 30]"
669eaa8819bd7,level_A,24.0,Male,High School Diploma,I prefer not to say,"[18, 30]"
669eaa8a00de7,level_B,38.0,Male,Graduate degree,Other,"[30, 40]"
669eaa977629f,level_B,48.0,Male,Undergraduate degree,IT and Engineering,"[40, 50]"
669eaaa1c0953,level_C,31.0,Female,Undergraduate degree,Social Sciences,"[30, 40]"
669eaaa1c8e3e,level_A,30.0,Male,Undergraduate degree,Social Sciences,"[30, 40]"
669eaaa4c8824,level_C,23.0,Male,Undergraduate degree,Social Sciences,"[18, 30]"
669eaaa673a98,level_B,42.0,Male,Undergraduate degree,Social Sciences,"[40, 50]"
669eaaa776fef,level_A,30.0,Male,High School Diploma,I prefer not to say,"[30, 40]"
669eaaad11e96,level_B,35.0,Female,Graduate degree,Other,"[30, 40]"
669eaab09a52f,level_A,28.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669eaac300cca,level_A,24.0,Male,Graduate degree,Other,"[18, 30]"
669eaac8ddfa7,level_B,35.0,Female,Technical/community college,IT and Engineering,"[30, 40]"
669eaacf8bdb7,level_C,23.0,Female,High School Diploma,Social Sciences,"[18, 30]"
669eaadc90bf9,level_A,32.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eaade90161,level_B,25.0,Non-binary,Graduate degree,Other,"[18, 30]"
669eaae58348c,level_A,47.0,Female,Graduate degree,Mathematics and Statistics,"[40, 50]"
669eaae9ca68e,level_A,39.0,Female,Doctorate degree,Social Sciences,"[30, 40]"
669eaaef07815,level_C,22.0,I prefer not to say,High School Diploma,Social Sciences,"[18, 30]"
669eaaf484ab3,level_A,39.0,Male,Undergraduate degree,Other,"[30, 40]"
669eaaf995418,level_B,30.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eaafc43940,level_C,28.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669eaaff9cf06,level_B,33.0,Female,High School Diploma,Other,"[30, 40]"
669eab04dd7b9,level_B,26.0,Female,High School Diploma,Natural Sciences,"[18, 30]"
669eab062626f,level_C,21.0,Male,High School Diploma,IT and Engineering,"[18, 30]"
669eab11b2b05,level_C,44.0,Male,High School Diploma,IT and Engineering,"[40, 50]"
669eab1da5563,level_B,43.0,Female,Undergraduate degree,Natural Sciences,"[40, 50]"
669eab20c8360,level_B,70.0,Female,Undergraduate degree,IT and Engineering,"[60, 100]"
669eab2428aa8,level_C,40.0,Female,Graduate degree,Other,"[40, 50]"
669eab2a56745,level_B,28.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669eab3045d2c,level_B,29.0,Female,Graduate degree,Natural Sciences,"[18, 30]"
669eab37cac4b,level_C,21.0,Female,Technical/community college,Other,"[18, 30]"
669eab42407a1,level_A,34.0,Female,Undergraduate degree,Natural Sciences,"[30, 40]"
669eab425112d,level_B,25.0,Female,Technical/community college,Social Sciences,"[18, 30]"
669eab43511b4,level_C,26.0,Male,Doctorate degree,Natural Sciences,"[18, 30]"
669eab4ce3335,level_C,68.0,Female,Undergraduate degree,Social Sciences,"[60, 100]"
669eab53d7708,level_C,39.0,Female,Graduate degree,IT and Engineering,"[30, 40]"
669eab55745e9,level_C,52.0,Female,Doctorate degree,Other,"[50, 60]"
669eab5a87d8d,level_A,32.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eab5b58c3a,level_C,50.0,Male,Technical/community college,IT and Engineering,"[50, 60]"
669eab5b60634,level_A,43.0,Male,Undergraduate degree,I prefer not to say,"[40, 50]"
669eab7ce0fef,level_C,61.0,Female,Graduate degree,Natural Sciences,"[60, 100]"
669eab823259f,level_B,38.0,Female,Graduate degree,Social Sciences,"[30, 40]"
669eab942cfd1,level_B,21.0,Female,High School Diploma,Social Sciences,"[18, 30]"
669eabaa2da79,level_B,50.0,Male,Graduate degree,Social Sciences,"[50, 60]"
669eabbeca297,level_C,71.0,Male,High School Diploma,I prefer not to say,"[60, 100]"
669eabc1c60a3,level_B,38.0,Female,High School Diploma,Other,"[30, 40]"
669eabc7b0009,level_B,27.0,Female,Undergraduate degree,Other,"[18, 30]"
669eabe2d11f3,level_A,25.0,Male,Other,Other,"[18, 30]"
669eabf90348a,level_B,43.0,Male,High School Diploma,Other,"[40, 50]"
669eac0432fbc,level_A,61.0,Male,Graduate degree,IT and Engineering,"[60, 100]"
669eac085ba5e,level_B,46.0,Male,High School Diploma,Other,"[40, 50]"
669eac131a3c0,level_C,19.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669eac14180ce,level_C,27.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669eac18afecf,level_A,39.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eac19f0653,level_B,51.0,Female,Undergraduate degree,Other,"[50, 60]"
669eac240a485,level_C,52.0,Male,Technical/community college,IT and Engineering,"[50, 60]"
669eac2f4caba,level_A,65.0,Male,High School Diploma,Other,"[60, 100]"
669eac37d95e9,level_C,35.0,Male,Graduate degree,Other,"[30, 40]"
669eac3a95c3d,level_C,37.0,Male,Technical/community college,IT and Engineering,"[30, 40]"
669eac4649253,level_A,56.0,Female,Graduate degree,Social Sciences,"[50, 60]"
669eac571d5fb,level_C,43.0,Male,Undergraduate degree,IT and Engineering,"[40, 50]"
669eac5ab91d8,level_B,27.0,Male,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669eac7059347,level_B,25.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669eac719622e,level_B,55.0,Female,Undergraduate degree,Other,"[50, 60]"
669eac74eebfe,level_A,36.0,Male,Undergraduate degree,Social Sciences,"[30, 40]"
669eac81a4f22,level_B,54.0,Female,Graduate degree,IT and Engineering,"[50, 60]"
669eac83757d7,level_B,31.0,Female,Graduate degree,IT and Engineering,"[30, 40]"
669eac8b46d83,level_C,30.0,Male,Graduate degree,Natural Sciences,"[30, 40]"
669eac95e511a,level_C,51.0,Female,Doctorate degree,Social Sciences,"[50, 60]"
669eacb7722c8,level_B,40.0,Non-binary,Undergraduate degree,Other,"[40, 50]"
669eacb8172fb,level_B,40.0,Male,Graduate degree,Other,"[40, 50]"
669eacbe6f7e5,level_C,18.0,Male,High School Diploma,Natural Sciences,"[18, 30]"
669eaccdb6b0b,level_C,20.0,Male,Other,Other,"[18, 30]"
669eace1391f7,level_C,39.0,Female,Graduate degree,Mathematics and Statistics,"[30, 40]"
669eace2f27e2,level_B,30.0,Male,Undergraduate degree,Mathematics and Statistics,"[30, 40]"
669ead14dc3e6,level_A,38.0,Female,Undergraduate degree,Other,"[30, 40]"
669ead15beac1,level_A,43.0,Female,Technical/community college,Natural Sciences,"[40, 50]"
669ead21d8943,level_A,65.0,Male,Graduate degree,Other,"[60, 100]"
669ead2ed608b,level_B,51.0,Male,Technical/community college,Other,"[50, 60]"
669ead2fe87fa,level_C,32.0,Male,Graduate degree,Natural Sciences,"[30, 40]"
669ead3681eaf,level_B,50.0,Male,Technical/community college,IT and Engineering,"[50, 60]"
669ead61542a1,level_C,36.0,Male,Graduate degree,Social Sciences,"[30, 40]"
669ead6245c74,level_C,28.0,Male,High School Diploma,I prefer not to say,"[18, 30]"
669ead6ac54e0,level_C,23.0,Male,High School Diploma,I prefer not to say,"[18, 30]"
669ead6d1ea96,level_B,40.0,Male,Graduate degree,I prefer not to say,"[40, 50]"
669ead8b8f546,level_C,19.0,Female,High School Diploma,Other,"[18, 30]"
669eadc165257,level_B,56.0,Female,Technical/community college,Other,"[50, 60]"
669eadd64bcba,level_A,30.0,Female,Undergraduate degree,Mathematics and Statistics,"[30, 40]"
669eade90fb77,level_B,37.0,Male,Graduate degree,Mathematics and Statistics,"[30, 40]"
669eadf67468c,level_B,36.0,Female,High School Diploma,Other,"[30, 40]"
669eae0164379,level_A,29.0,Male,Graduate degree,Mathematics and Statistics,"[18, 30]"
669eae4c32702,level_A,49.0,Female,Graduate degree,Other,"[40, 50]"
669eae4ff2c89,level_B,52.0,Female,Undergraduate degree,Natural Sciences,"[50, 60]"
669eae70d11eb,level_B,62.0,Female,Graduate degree,IT and Engineering,"[60, 100]"
669eae8e1b8ae,level_C,40.0,Male,Undergraduate degree,IT and Engineering,"[40, 50]"
669eae9979578,level_B,70.0,Female,Technical/community college,Natural Sciences,"[60, 100]"
669eaea93c9f1,level_A,70.0,Female,Graduate degree,Social Sciences,"[60, 100]"
669eaeba5962d,level_C,44.0,Female,Technical/community college,Other,"[40, 50]"
669eaec945718,level_C,52.0,Male,Undergraduate degree,Social Sciences,"[50, 60]"
669eaf21675d0,level_C,36.0,Female,Graduate degree,Other,"[30, 40]"
669eaf2c88695,level_B,24.0,Male,Undergraduate degree,Social Sciences,"[18, 30]"
669eaf5200483,level_C,40.0,Male,Doctorate degree,IT and Engineering,"[40, 50]"
669eaf5498aa3,level_C,35.0,Male,Undergraduate degree,IT and Engineering,"[30, 40]"
669eaf558ca6f,level_C,51.0,Male,Doctorate degree,IT and Engineering,"[50, 60]"
669eaf7404e0f,level_C,26.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669eafb57ce2b,level_C,44.0,Female,Undergraduate degree,Natural Sciences,"[40, 50]"
669eb0537a5fa,level_C,55.0,Female,Graduate degree,Other,"[50, 60]"
669eb0567b190,level_C,58.0,Female,Graduate degree,Mathematics and Statistics,"[50, 60]"
669eb0df4dec4,level_A,31.0,Female,High School Diploma,Other,"[30, 40]"
669eb0f083557,level_B,39.0,Female,Undergraduate degree,Other,"[30, 40]"
669eb1030b307,level_B,51.0,Female,Graduate degree,Other,"[50, 60]"
669eb1d4524b7,level_C,24.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669eb218d9979,level_C,28.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669eb2c571ba7,level_A,44.0,Male,Undergraduate degree,Other,"[40, 50]"
669eb3c2ea5ec,level_B,37.0,Male,Undergraduate degree,Social Sciences,"[30, 40]"
669eb3d0c00b6,level_C,48.0,Female,Graduate degree,Other,"[40, 50]"
669eb3e9a7081,level_B,20.0,Male,Graduate degree,IT and Engineering,"[18, 30]"
669eb5c63a8f6,level_C,69.0,Male,Graduate degree,IT and Engineering,"[60, 100]"
669eb60b380ad,level_B,29.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669eb9dcaaf4e,level_A,74.0,Female,Undergraduate degree,Social Sciences,"[60, 100]"
669ebbf08797d,level_A,49.0,Female,Undergraduate degree,Mathematics and Statistics,"[40, 50]"
66a10dfbbd15c,level_B_cal,23.0,Female,Graduate degree,Social Sciences,"[18, 30]"
66a10f886dd96,level_B_cal,58.0,Female,Undergraduate degree,Social Sciences,"[50, 60]"
66a11098dce3a,level_B_cal,41.0,Male,Undergraduate degree,IT and Engineering,"[40, 50]"
66a1117b4813c,level_B_cal,74.0,Male,Doctorate degree,IT and Engineering,"[60, 100]"
66a112e2edb6b,level_B_cal,28.0,Female,High School Diploma,Other,"[18, 30]"
66a11314405dc,level_B_cal,33.0,Female,Graduate degree,IT and Engineering,"[30, 40]"
66a1133b6f8cb,level_B_cal,29.0,Male,Graduate degree,Mathematics and Statistics,"[18, 30]"
66a1140a6fc19,level_B_cal,25.0,Female,Graduate degree,Other,"[18, 30]"
66a114b0d2015,level_B_cal,43.0,Female,Undergraduate degree,Social Sciences,"[40, 50]"
66a114babee43,level_B_cal,50.0,Female,High School Diploma,Other,"[50, 60]"
66a114c8083ce,level_B_cal,30.0,Male,Graduate degree,Social Sciences,"[30, 40]"
66a114c85a470,level_B_cal,25.0,Male,Graduate degree,Social Sciences,"[18, 30]"
66a1154ea6d29,level_B_cal,29.0,Male,Graduate degree,Other,"[18, 30]"
66a115d14f227,level_B_cal,58.0,Female,High School Diploma,Mathematics and Statistics,"[50, 60]"
66a115d469897,level_B_cal,38.0,Male,Doctorate degree,Mathematics and Statistics,"[30, 40]"
66a1160c36568,level_B_cal,40.0,Male,Undergraduate degree,Other,"[40, 50]"
66a116bdaeeae,level_B_cal,41.0,Male,Undergraduate degree,Other,"[40, 50]"
66a1174d11203,level_B_cal,20.0,Female,High School Diploma,Social Sciences,"[18, 30]"
66a1175155bd2,level_B_cal,30.0,Female,Technical/community college,IT and Engineering,"[30, 40]"
66a1175acf0a3,level_B_cal,36.0,Male,Graduate degree,IT and Engineering,"[30, 40]"
